Company,Industry,Stage,Country,Market Condition,Remote Policy,Company Size,Company Age,Location HQ(Encoded),Funds Raised ($M),Revenue ($M),Burn Rate,Industry Growth (%),Year,Month,Actual Layoffs
OSlash,Fitness,Series J,Thailand,Recession,Hybrid,2468,19,12,1671.9,400.26,16,-0.001,2023,4,252
HumanForest,Logistics,Series C,Malaysia,Recovery,Office,369,6,113,69.4,86.09,18,0.017,2024,8,48
Wayflyer,Logistics,Seed,Saudi Arabia,Growth,Hybrid,29,3,186,2.6,7.98,15,-0.079,2021,9,7
NexusGroup,Other,Series H,India,Downturn,Remote,1527,13,98,1146.2,503.85,13,-0.033,2022,8,225
CloudInc,Retail,Series I,South Africa,Stable,Office,2562,14,39,1665.5,1073.45,9,0.015,2024,2,462
Branch Metrics,Travel,Seed,Mexico,Recession,Hybrid,23,2,140,4.9,7.2,19,0.037,2023,9,3
LegalZoom,Support,Series C,Hong Kong,Recovery,Hybrid,322,8,92,69,81.33,11,0.06,2024,4,53
DataLabs,AI,Series J,Ireland,Recession,Hybrid,2292,18,64,1812.8,416.95,11,-0.005,2020,12,433
GlobalDynamics,Support,Private Equity,Egypt,Recovery,Hybrid,8043,34,37,1177.7,2254.5,10,0.003,2021,5,1967
QuantumCorp,Crypto,Subsidiary,Argentina,Downturn,Hybrid,1414,40,35,572.4,332.59,8,-0.069,2022,8,137
QuantumVentures,Support,Private Equity,Nigeria,Stable,Office,6406,30,0,1303.9,2050.36,15,-0.018,2022,3,457
SmartDynamics,Fitness,Series C,Bahrain,Recession,Hybrid,337,5,135,62.3,60.78,8,-0.055,2020,9,59
QuantumInc,Crypto,Series J,Uruguay,Downturn,Hybrid,2766,21,147,1797,1093.75,14,-0.12,2022,9,973
Guideline,Infrastructure,Seed,France,Recovery,Office,25,2,171,3.7,3.45,12,-0.017,2024,5,3
GlobalVentures,Aerospace,Series C,Indonesia,Recovery,Office,385,9,101,94.5,49.8,18,-0.011,2021,7,53
Nearmap,HR,Series G,Israel,Recession,Hybrid,1290,16,103,911.2,493.7,13,0,2020,6,125
NexusCorp,AI,Series D,Switzerland,Recession,Office,366,9,78,115.2,104.98,15,0.053,2023,8,81
NexusLabs,Healthcare,Acquired,Argentina,Recovery,Hybrid,2357,15,35,721.9,631.32,18,0.079,2024,5,647
SmartSystems,Support,Series D,Peru,Recession,Office,659,5,121,142.1,174.69,11,0.022,2023,5,115
AIDynamics,Legal,Series D,Australia,Downturn,Office,446,9,29,123,143.08,17,-0.012,2022,5,61
Katerra,Unknown,Series E,United Arab Emirates,Stable,Hybrid,848,12,63,253.6,303.28,15,-0.067,2024,1,156
DigitalGroup,Security,Series G,United States,Downturn,Hybrid,893,11,158,874.7,295.95,10,0.008,2022,6,196
AIInc,Education,Series D,United States,Recession,Hybrid,343,10,62,150.5,78.42,13,-0.002,2023,3,47
TechTechnologies,Recruiting,Series J,Poland,Recovery,Remote,2365,11,228,1820.4,577.2,14,0.053,2021,3,534
PickYourTrail,Hardware,Unknown,Ghana,Recession,Office,1734,13,1,55.6,433.19,12,0.02,2020,6,357
Curbio,Hardware,Acquired,Malaysia,Downturn,Office,1188,20,113,683.5,394.39,9,-0.041,2022,4,218
ApexCorp,Healthcare,Series G,Portugal,Recession,Hybrid,1165,10,123,904.3,513.44,11,0.082,2023,7,161
NexusGroup,Finance,Series D,Spain,Recession,Hybrid,680,10,13,131.2,324.29,15,-0.012,2020,9,141
QuantumSolutions,HR,Series C,Peru,Recession,Office,276,5,121,85.9,88.72,12,0.007,2020,9,37
Earnix,Unknown,Series A,Chile,Downturn,Office,87,4,197,11.9,22.22,16,0.004,2022,8,26
Booking.com,Education,Series E,Netherlands,Stable,Remote,896,9,5,324.6,195.79,14,0.05,2022,3,173
Hotmart,Retail,Series C,Luxembourg,Downturn,Remote,323,4,130,71.8,108.01,16,0.028,2022,10,52
ApexLabs,Marketing,Series I,Colombia,Recovery,Remote,1930,15,24,1247.3,607.16,18,-0.07,2021,8,230
QuantumSystems,AI,Series A,Saudi Arabia,Recession,Office,92,5,186,6.7,26.41,9,0.007,2020,7,14
DigitalSolutions,Consumer,Series F,Seychelles,Recovery,Hybrid,934,11,224,472.1,303.45,8,-0.046,2024,7,135
AIVentures,Travel,Series F,Mexico,Stable,Remote,1021,9,82,434.1,385.7,17,0.031,2023,11,160
Palmetto Clean Technology,Construction,Series C,United States,Recovery,Hybrid,276,8,156,57.9,54.21,14,-0.075,2024,5,93
TechSystems,Food,Series I,Greece,Downturn,Office,2766,11,7,1267.9,956.97,12,0.017,2022,5,445
SWVL,Real Estate,Subsidiary,Argentina,Recovery,Remote,2349,31,35,1224,816.06,12,-0.081,2024,3,432
QuantumLabs,Security,Private Equity,Romania,Recovery,Office,4671,29,50,1580.8,1156.69,20,-0.048,2024,8,748
CloudVentures,Aerospace,Series F,Pakistan,Downturn,Remote,914,10,106,448,150.05,15,0.021,2022,7,54
Trendsales,Hardware,Series A,Estonia,Recovery,Hybrid,87,5,213,10.3,18.78,11,-0.082,2021,3,10
Fast,Food,Post-IPO,Poland,Recession,Office,6755,40,84,2974.6,2300.47,10,0.057,2020,11,1608
PartnerStack,Support,Series D,Philippines,Recovery,Office,509,5,137,121.2,145.68,9,-0.062,2024,9,139
AIInc,Education,Series I,Ukraine,Recovery,Hybrid,2457,17,114,1316.4,979.15,18,-0.046,2024,7,896
CloudLabs,Infrastructure,Series H,France,Recovery,Hybrid,2162,17,219,987.5,711.47,16,-0.032,2024,7,501
Wallbox,Recruiting,Series F,Czech Republic,Downturn,Office,763,15,178,273.7,173.66,16,0.004,2022,8,100
GlobalVentures,Legal,Acquired,Netherlands,Recession,Hybrid,820,4,5,309.9,143.35,12,0.014,2020,7,140
Insider,Marketing,Seed,Seychelles,Stable,Hybrid,23,3,163,3.3,7.75,20,-0.009,2023,11,4
GlobalSystems,Real Estate,Unknown,Norway,Recession,Hybrid,1417,19,220,50.1,518.73,17,-0.054,2023,6,326
DigitalInc,Retail,Series E,Argentina,Recovery,Hybrid,736,13,35,202,216.07,10,-0.05,2024,9,200
GlobalLabs,Construction,Acquired,United Arab Emirates,Recovery,Remote,3346,21,63,499.4,878.32,22,0.002,2021,3,950
Roblox China,Sales,Series G,Canada,Downturn,Hybrid,1733,15,38,494.4,601.5,11,-0.079,2022,9,305
ApexVentures,Education,Series A,Ghana,Recession,Office,120,4,1,10,28.66,11,-0.037,2020,4,26
